osmid,x,y,total_CYD
98304387,-81.954938,26.467129,0.0
98309788,-81.9203452,26.4363058,0.0
98309790,-81.9199871,26.4367352,0.0
98309793,-81.919509,26.4372983,0.0
98309799,-81.9193893,26.4375308,0.0
98309801,-81.9195584,26.4376506,0.0
98309804,-81.9192136,26.4380604,0.0
98309808,-81.9189846,26.4383446,0.0
98316531,-81.932314,26.44596,0.0
98328726,-81.922184,26.440291,0.0
98333652,-81.9270191,26.4444608,0.0
98336948,-81.9444162,26.4486989,0.0
98336950,-81.944227,26.4486304,0.0
98336954,-81.9427727,26.4481005,0.0
98345053,-81.952762,26.455888,0.0
98358279,-81.9250554,26.4388022,0.0
98358291,-81.922714,26.440757,0.0
98365661,-81.9455034,26.4538733,0.0
98370914,-81.945885,26.459318,0.0
98370931,-81.945749,26.46168,0.0
98375402,-81.944159,26.453779,0.0
98375406,-81.9443773,26.4482959,0.0
98380902,-81.9254798,26.4430016,0.0
98383039,-81.930635,26.445305,0.0
98383055,-81.928631,26.44698,0.0
98388856,-81.9537917,26.454194,0.0
98388863,-81.953796,26.4547242,0.0
98390144,-81.939823,26.446672,0.0
98409130,-81.951443,26.461484,0.0
98409195,-81.950875,26.464913,0.0
98421246,-81.9248729,26.4425955,0.0
98425440,-81.9383856,26.4483884,0.0
98425453,-81.9368652,26.4488205,0.0
98428001,-81.952491,26.461717,0.0
98428002,-81.952205,26.4616536,0.0
98428017,-81.947737,26.460457,0.0
98428019,-81.947646,26.460401,0.0
98428021,-81.946393,26.459627,0.0
98433177,-81.919012,26.43604,0.0
98433181,-81.919765,26.436607,0.0
98433630,-81.9551712,26.4538149,0.0
98433634,-81.9553117,26.4536327,0.0
98433640,-81.955247,26.4530787,0.0
98441272,-81.930951,26.445485,0.0
98444333,-81.9593749,26.4574838,0.0
98444340,-81.9582706,26.4568632,0.0
98444347,-81.9581615,26.4570629,0.0
98444349,-81.958375,26.4566595,0.0
98444363,-81.9594089,26.4576165,0.0
98444443,-81.925724,26.439119,0.0
98444458,-81.923063,26.441363,0.0
98445065,-81.9237631,26.4414694,0.0
98449148,-81.928915,26.444349,0.0
98454849,-81.91774,26.437523,0.0
98478408,-81.952307,26.451444,0.0
98481251,-81.942589,26.459802,0.0
98494340,-81.946241,26.461758,0.0
98513467,-81.9500751,26.450686,0.0
98523816,-81.95526,26.453307,0.0
98523838,-81.9548833,26.4535654,0.0
98523862,-81.954168,26.454085,0.0
98525213,-81.9213417,26.4378469,0.0
98541481,-81.9477315,26.464313,0.0
98559944,-81.928806,26.445638,0.0
1387614715,-81.9204923,26.4364172,0.0
1387614718,-81.9200469,26.4367699,0.0
1387614719,-81.9201433,26.4368258,0.0
1387614737,-81.9197204,26.4387061,0.0
1412670504,-81.9501746,26.450419,0.0
1412670505,-81.9509314,26.4506541,0.0
1756886972,-81.9416941,26.4580185,0.0
1756886973,-81.940885,26.458026,0.0
1769042077,-81.9555099,26.4534638,0.0
1769053882,-81.940751,26.4490453,0.0
1769053892,-81.9413168,26.449243,0.0
1769083207,-81.9454605,26.4494687,0.0
1769083208,-81.9447333,26.4493629,0.0
1769083210,-81.9448275,26.4492261,0.0
1769083211,-81.944775,26.4485047,0.0
1769085404,-81.9451116,26.449335,0.0
1769085412,-81.9452115,26.4485747,0.0
1773568796,-81.9457635,26.4489667,0.0
1773568797,-81.9457643,26.4490925,0.0
1773568798,-81.9455066,26.4489455,0.0
1773568799,-81.9455075,26.4490348,0.0
1773568800,-81.9457688,26.4497306,0.0
1773963615,-81.9660318,26.4636688,0.0
1773963620,-81.9661309,26.4627823,0.0
1773966062,-81.9659164,26.462838,0.0
1773966068,-81.9658151,26.4625588,0.0
1775767027,-81.9352617,26.4470737,0.0
1775767030,-81.9237989,26.4378689,0.0
1775767041,-81.9360198,26.4470753,0.0
1775767042,-81.9372825,26.4472069,0.0
1775767045,-81.9358174,26.4457117,0.0
