Load Date,Disposal Site,CYD,Proportion,Assigned Trucks
2022-11-21,Lovers Key DMS,2397,0.03233116173673775,8
2022-11-21,Paige Field Airport DMS,12179,0.16427251514047936,39
2022-11-21,Pine Island DMS,15173,0.20465611891177382,48
2022-11-21,Wakehatchee Park DMS,13693,0.18469361604553608,44
2022-11-21,Wheeler Rd DMS ,1312,0.017696489027367514,4
2022-11-22,AandW Bulb Rd DMS,4802,0.08111075452257487,18
2022-11-22,Bay Oaks DMS,303,0.005117983885951726,1
2022-11-22,Civic Center DMS,12768,0.21566474671891628,47
2022-11-22,Domestic Rd DMS,3709,0.06264885225410874,14
2022-11-22,Lee Health Bonita Springs DMS,362,0.006114555005658497,1
2022-11-22,Lovers Key DMS,2406,0.040639832440923604,9
2022-11-22,Paige Field Airport DMS,8026,0.1355674543519754,30
2022-11-22,Pine Island DMS,11918,0.20130736618076786,44
2022-11-22,Wakehatchee Park DMS,13255,0.22389068121547895,49
2022-11-22,Wheeler Rd DMS ,1458,0.024627130381906323,5
2022-11-22,Wulfert Rd DMS,196,0.00331064304173775,1
2022-11-26,Lovers Key DMS,667,0.44289508632138114,4
2022-11-26,Wheeler Rd DMS ,839,0.5571049136786188,5
2022-11-27,Lovers Key DMS,501,0.3106013639181649,3
2022-11-27,Wheeler Rd DMS ,1112,0.689398636081835,6
2022-11-28,AandW Bulb Rd DMS,5329,0.07591059956410877,16
2022-11-28,Civic Center DMS,19414,0.2765487671115796,60
2022-11-28,Domestic Rd DMS,4050,0.05769148587626957,12
2022-11-28,Lee Health Bonita Springs DMS,898,0.012791840572071623,3
2022-11-28,Lovers Key DMS,3704,0.052762781156963576,11
2022-11-28,Paige Field Airport DMS,6484,0.0923633566473412,20
2022-11-28,Pine Island DMS,14740,0.20996851896696628,45
2022-11-28,Wakehatchee Park DMS,13568,0.1932736000911668,42
2022-11-28,Wheeler Rd DMS ,1340,0.019088047178815116,4
2022-11-28,Wulfert Rd DMS,674,0.009601002834717454,2
2022-11-29,AandW Bulb Rd DMS,4980,0.07283150767070799,16
2022-11-29,Bay Oaks DMS,70,0.001023736051596297,0
2022-11-29,Civic Center DMS,17324,0.2533600479693464,57
2022-11-29,Domestic Rd DMS,7618,0.1114117320151513,25
2022-11-29,Lee Health Bonita Springs DMS,690,0.01009111250859207,2
2022-11-29,Lovers Key DMS,3337,0.048802960059669186,11
2022-11-29,Paige Field Airport DMS,5919,0.08656419556283546,20
2022-11-29,Pine Island DMS,14243,0.20830103689837226,47
2022-11-29,Wakehatchee Park DMS,12236,0.17894906181903272,40
2022-11-29,Wheeler Rd DMS ,1233,0.018032379308831916,4
2022-11-29,Wulfert Rd DMS,727,0.010632230135864399,2
2022-11-30,AandW Bulb Rd DMS,4850,0.07203326897371157,17
2022-11-30,Bay Oaks DMS,529,0.007856824595276994,2
2022-11-30,Civic Center DMS,18337,0.2723451656022575,64
2022-11-30,Domestic Rd DMS,8338,0.1238378137531561,29
2022-11-30,Lee Health Bonita Springs DMS,830,0.012327342937769197,3
2022-11-30,Lovers Key DMS,2647,0.03931382741719887,9
2022-11-30,Paige Field Airport DMS,6521,0.09685132927372642,23
2022-11-30,Pine Island DMS,11820,0.17555324521015891,41
2022-11-30,Wakehatchee Park DMS,9663,0.14351700579236595,34
2022-11-30,Wheeler Rd DMS ,1228,0.018238526659735632,4
2022-11-30,Wulfert Rd DMS,2567,0.03812564978464281,9
2022-12-01,AandW Bulb Rd DMS,4077,0.05883881023509547,14
2022-12-01,Bay Oaks DMS,1173,0.016928605446594795,4
2022-12-01,Civic Center DMS,17580,0.25371260336840284,62
2022-12-01,Domestic Rd DMS,8987,0.12969938375835247,32
2022-12-01,Lee Health Bonita Springs DMS,449,0.006479918026872177,2
2022-12-01,Lovers Key DMS,2805,0.040481447807074515,10
2022-12-01,Paige Field Airport DMS,7553,0.10900405536072506,27
2022-12-01,Pine Island DMS,12726,0.1836602156124172,45
2022-12-01,Wakehatchee Park DMS,10229,0.14762378952533517,36
2022-12-01,Wheeler Rd DMS ,1358,0.019598504856330547,5
2022-12-01,Wulfert Rd DMS,2354,0.03397266600279979,8
2022-12-02,AandW Bulb Rd DMS,3473,0.05032822757111598,12
2022-12-02,Bay Oaks DMS,39,0.00056516005622618,0
2022-12-02,Civic Center DMS,17100,0.24780094772994044,60
2022-12-02,Domestic Rd DMS,9977,0.1445795354094512,35
2022-12-02,Lee Health Bonita Springs DMS,656,0.009506281971394206,2
2022-12-02,Lovers Key DMS,2874,0.04164794875882157,10
