osmid,x,y,total_CYD,geometry
5759422379,-81.9020978,26.4172492,36.152040072435206,POINT (-81.9020978 26.4172492)
5759422381,-81.9022669,26.4177066,0.0,POINT (-81.9022669 26.4177066)
5759422382,-81.9020701,26.4176892,4.249213665230258,POINT (-81.9020701 26.4176892)
5759422383,-81.9017781,26.4177448,0.0,POINT (-81.9017781 26.4177448)
5759422387,-81.9022207,26.4175817,2.360674258461254,POINT (-81.9022207 26.4175817)
5759422388,-81.9028483,26.4184947,89.84051749343973,POINT (-81.9028483 26.4184947)
5759422390,-81.9029884,26.4184483,43.90854120737933,POINT (-81.9029884 26.4184483)
5759422396,-81.902987,26.4183295,109.06315074090995,POINT (-81.902987 26.4183295)
5759422397,-81.902499,26.4183346,8.430979494504479,POINT (-81.902499 26.4183346)
5759422398,-81.9027223,26.4183323,360.1039961692753,POINT (-81.9027223 26.4183323)
5759422400,-81.902454,26.418213,86.26578218776983,POINT (-81.902454 26.418213)
5763946153,-81.9009288,26.4154616,27.51871707006262,POINT (-81.9009288 26.4154616)
5763946155,-81.9010308,26.4157372,59.556439149179646,POINT (-81.9010308 26.4157372)
5763946217,-81.901506,26.4150124,1.146613211252609,POINT (-81.901506 26.4150124)
5763946218,-81.9008252,26.4151819,6.205200907955296,POINT (-81.9008252 26.4151819)
5763946233,-81.9005999,26.4145821,93.28035712719756,POINT (-81.9005999 26.4145821)
5763946235,-81.9007932,26.4145136,210.16745683900766,POINT (-81.9007932 26.4145136)
5763946236,-81.9007566,26.4149994,3.507287469713863,POINT (-81.9007566 26.4149994)
5763946237,-81.9011328,26.4148062,18.00857220026157,POINT (-81.9011328 26.4148062)
5763946238,-81.900934,26.4148698,59.62388698513568,POINT (-81.900934 26.4148698)
5763946358,-81.9019134,26.4142425,58.40982593792703,POINT (-81.9019134 26.4142425)
5763946360,-81.9017468,26.4148141,145.55242999312532,POINT (-81.9017468 26.4148141)
5763946363,-81.9012063,26.4144153,11.19634076870195,POINT (-81.9012063 26.4144153)
5763946364,-81.9015541,26.4148619,12.6127453237787,POINT (-81.9015541 26.4148619)
5763946365,-81.9014138,26.4143679,1.8885394067690033,POINT (-81.9014138 26.4143679)
