fid,Load_Date,fldDebrisC,Pile_Latit,Pile_Longi
422,11/06/2022,C and D,26.4047796652,-81.8922348508
423,11/30/2022,C and D,26.4049383,-81.8855517
424,01/13/2023,C and D,26.4414856,-81.9291341
425,12/01/2022,C and D,26.4280799,-81.9111269
426,12/12/2022,Vegetation,26.426639,-81.909455
427,11/29/2022,C and D,26.4628740823,-81.954071881
428,10/29/2022,C and D,26.4525411,-81.9547537
429,11/03/2022,C and D,26.404519581,-81.8908633486
430,12/01/2022,C and D,26.4431317,-81.9318135
431,12/03/2022,C and D,26.4108382305,-81.8992717099
432,11/19/2022,C and D,26.4345476,-81.9184345
433,12/12/2022,C and D,26.4614843,-81.9522567
434,12/17/2022,Vegetation,26.4254994784,-81.9080502448
435,02/17/2023,C and D,26.4648915692,-81.9508522733
436,11/13/2022,C and D,26.4103926453,-81.8990146375
437,10/23/2022,C and D,26.4450066609,-81.935334276
438,10/18/2022,C and D,26.4658104,-81.9555124
439,11/19/2022,C and D,26.4145546998,-81.900756025
440,10/15/2022,Dirty Sand Soil,26.4493256,-81.9445588
441,11/12/2022,C and D,26.4276299381,-81.910448754
442,12/07/2022,C and D,26.4583942,-81.9395725
443,12/09/2022,C and D,26.4587755502,-81.9410490432
444,11/02/2022,C and D,26.4450002276,-81.9355298952
445,12/19/2022,C and D,26.4626129402,-81.9477553816
446,12/01/2022,C and D,26.443132,-81.93174
447,02/03/2023,Dirty Sand Soil,26.4410015,-81.9278793
448,11/14/2022,C and D,26.4595768,-81.9404332
449,10/23/2022,Clean Sand Soil,26.4525616,-81.9546235
450,11/04/2022,C and D,26.4043775434,-81.8890497275
451,10/31/2022,C and D,26.4207434147,-81.9033664756
452,11/01/2022,Dirty Sand Soil,26.4119348,-81.8997165
453,11/30/2022,C and D,26.4616529054,-81.9485705736
454,10/31/2022,C and D,26.4173666,-81.9016312
455,01/30/2023,Compact CD,26.447913,-81.940689
456,10/14/2022,Dirty Sand Soil,26.4491621358,-81.9440267981
457,12/04/2022,C and D,26.4592386838,-81.9403634002
458,12/08/2022,C and D,26.4615383093,-81.9462952764
459,11/05/2022,C and D,26.4477724,-81.9408639
460,11/06/2022,C and D,26.4046863689,-81.8918267092
461,10/17/2022,C and D,26.4310734021,-81.9139574748
462,11/02/2022,C and D,26.4066265801,-81.8957556458
463,01/16/2023,C and D,26.4347123,-81.9185585
464,02/01/2023,C and D,26.460715563,-81.949223827
465,10/28/2022,C and D,26.4217262688,-81.9040594051
466,11/04/2022,C and D,26.4513254,-81.9503308
467,11/06/2022,C and D,26.4255856039,-81.9079695601
468,11/30/2022,C and D,26.464755,-81.9506433
469,11/21/2022,C and D,26.4349643715,-81.9190161247
470,11/08/2022,C and D,26.4085475,-81.8975268
471,03/09/2023,C and D,26.4102106,-81.8989119
472,12/18/2022,C and D,26.418275116,-81.9019507338
473,02/27/2023,C and D,26.4599796529,-81.9414222879
474,12/06/2022,C and D,26.4612251703,-81.9524732482
475,10/31/2022,C and D,26.4182113298,-81.9020223991
476,11/05/2022,C and D,26.4058074716,-81.8945128991
477,11/05/2022,C and D,26.4255174,-81.9078765
478,10/22/2022,Clean Sand Soil,26.4292128,-81.9120135
479,10/24/2022,C and D,26.434093194,-81.9175414473
480,11/13/2022,C and D,26.4364128114,-81.9207678421
481,10/14/2022,Dirty Sand Soil,26.4439499,-81.9333799
482,11/06/2022,C and D,26.4222842,-81.9042977
483,01/08/2023,C and D,26.4307923,-81.9132397
484,12/18/2022,C and D,26.4612025514,-81.9462605419
485,01/11/2023,C and D,26.4507464,-81.9487251
486,11/16/2022,C and D,26.4410202016,-81.928310275
487,01/09/2023,C and D,26.4325601961,-81.915665667
488,01/04/2023,C and D,26.4303954,-81.9131849
