Ticket #,Client,Disaster,Contractor,TDMS Project,Load Date,Debris Class,Load Latitude,Load Longitude,Disposal Date,Disposal Site,CYD,Total CYD
330012-22321-45820,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/17/2022,C and D,26.466311,-81.9556085,11/17/2022,Wakehatchee Park DMS,46,
330207-22323-30614,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/19/2022,C and D,26.46617687,-81.9553346,11/19/2022,Wakehatchee Park DMS,61,
330012-22323-63016,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/19/2022,C and D,26.45893,-81.941748,11/19/2022,Wakehatchee Park DMS,46,
330012-22332-63299,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/28/2022,C and D,26.4600514,-81.9415819,11/28/2022,Wakehatchee Park DMS,50,
330206-22334-36884,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/30/2022,C and D,26.45891811,-81.94612501,11/30/2022,Wakehatchee Park DMS,57,
330207-22323-40046,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/19/2022,C and D,26.4608731,-81.9539233,11/19/2022,Wakehatchee Park DMS,61,
330011-22334-43223,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/30/2022,C and D,26.4650514,-81.9508828,11/30/2022,Wakehatchee Park DMS,49,
330012-22320-31048,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/16/2022,C and D,26.4662767,-81.9556262,11/16/2022,Wakehatchee Park DMS,50,
330012-22326-48086,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/22/2022,C and D,26.458653,-81.9419362,11/22/2022,Wakehatchee Park DMS,58,
330012-22332-49108,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/28/2022,C and D,26.4642164,-81.9469159,11/28/2022,Wakehatchee Park DMS,58,
330012-22334-23574,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/30/2022,C and D,26.45974721,-81.94173414,11/30/2022,Wakehatchee Park DMS,54,
330011-22334-40389,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/30/2022,C and D,26.4649123,-81.9510501,11/30/2022,Wakehatchee Park DMS,53,
330207-22323-61548,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/19/2022,C and D,26.4614992,-81.9538355,11/19/2022,AandW Bulb Rd DMS,61,
330207-22324-24335,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/20/2022,C and D,26.46671064,-81.95442344,11/20/2022,Wakehatchee Park DMS,61,
330012-22324-56534,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/20/2022,C and D,26.45988,-81.9426112,11/20/2022,Wakehatchee Park DMS,50,
330012-22326-38435,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/22/2022,C and D,26.4657909,-81.9555058,11/22/2022,Wakehatchee Park DMS,54,
330012-22322-30142,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/18/2022,C and D,26.4611445,-81.9538433,11/18/2022,Wakehatchee Park DMS,50,
330012-22325-29745,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/21/2022,C and D,26.4607311,-81.9480926,11/21/2022,Wakehatchee Park DMS,58,
