Ticket #,Client,Disaster,Contractor,TDMS Project,Load Date,Debris Class,Load Latitude,Load Longitude,Disposal Date,Disposal Site,CYD,Total CYD
1024912-22322-25813,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/18/2022,Vegetation,26.5546556,-81.8678071,11/18/2022,Paige Field Airport DMS,41,
1024912-22324-37131,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/20/2022,Vegetation,26.5526815,-81.8696288,11/20/2022,Paige Field Airport DMS,48,
1024912-22325-56163,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/21/2022,C and D,26.5606105,-81.8571496,11/21/2022,Paige Field Airport DMS,41,
1024912-22332-38942,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/28/2022,Vegetation,26.5521531,-81.8631796,11/28/2022,Paige Field Airport DMS,34,
1024912-22333-31348,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/29/2022,C and D,26.5535035,-81.85869,11/29/2022,Paige Field Airport DMS,44,
102492-22322-26059,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/18/2022,Vegetation,26.73298863,-81.91212323,11/18/2022,Civic Center DMS,40,
102492-22322-43895,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/18/2022,Vegetation,26.73292053,-81.91210139,11/18/2022,Civic Center DMS,66,
102492-22323-48536,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/19/2022,C and D,26.74651904,-81.90536988,11/19/2022,Paige Field Airport DMS,57,
102492-22324-32769,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/20/2022,Vegetation,26.74793985,-81.90465935,11/20/2022,Paige Field Airport DMS,35,
102492-22332-41138,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/28/2022,Vegetation,26.73286529,-81.91250162,11/28/2022,Civic Center DMS,40,
102492-22333-61362,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/29/2022,Vegetation,26.73300468,-81.91213064,11/29/2022,Paige Field Airport DMS,35,
102492-22334-30384,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/30/2022,Vegetation,26.54251347,-81.90500032,11/30/2022,AandW Bulb Rd DMS,44,
102493-22320-58204,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/16/2022,Vegetation,26.72358706,-81.79670478,11/16/2022,Civic Center DMS,44,
102493-22321-44333,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/17/2022,Vegetation,26.72247279,-81.79671317,11/17/2022,Civic Center DMS,44,
1024912-22326-38835,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/22/2022,C and D,26.558012,-81.858839,11/22/2022,Paige Field Airport DMS,51,
102492-22321-57714,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/17/2022,Vegetation,26.73290987,-81.91235297,11/17/2022,Civic Center DMS,75,
102492-22323-42744,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/19/2022,C and D,26.74646937,-81.90536167,11/19/2022,Paige Field Airport DMS,66,
102492-22325-26747,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/21/2022,Vegetation,26.74727299,-81.90528623,11/21/2022,Paige Field Airport DMS,44,
102492-22325-32164,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/21/2022,Vegetation,26.7472433,-81.9051969,11/21/2022,Paige Field Airport DMS,35,
102492-22325-39604,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/21/2022,Vegetation,26.7475042,-81.9051571,11/21/2022,Paige Field Airport DMS,53,
102492-22326-35617,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/22/2022,Vegetation,26.7472128,-81.9051399,11/22/2022,Paige Field Airport DMS,57,
102493-22321-25417,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/17/2022,Vegetation,26.72332874,-81.79672083,11/17/2022,Civic Center DMS,53,
1024912-22326-26874,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/22/2022,C and D,26.5582663,-81.8574697,11/22/2022,Paige Field Airport DMS,48,
1024912-22334-28722,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/30/2022,C and D,26.5558779,-81.8636075,11/30/2022,Paige Field Airport DMS,44,
